Animation,Hip Pitch,Hip Roll,Head Yaw,Head Pitch,Right Shoulder Pitch,Right Shoulder Roll,Right Elbow Yaw,Right Elbow Roll,Right Wrist Yaw,Right Hand,Left Shoulder Pitch,Left Shoulder Roll,Left Elbow Yaw,Left Elbow Roll,Left Wrist Yaw,Left Hand
 We,0.137041866779,-0.0796415582299,2.79047923657e-10,-0.00427973642945,1.42178320885,-0.800192892551,2.08562612534,1.36135709286,0.000499999383464,0.980000019073,1.68066167831,1.00484156609,-2.08566808701,-1.36135661602,-0.00049999973271,0.980000019073
 We,0.136593982577,-0.079838745296,5.3772521158e-11,0.00577691290528,1.43555438519,-0.797728896141,2.08566236496,1.36135709286,0.000499999907333,0.980000019073,1.70570111275,1.02000629902,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.136919692159,-0.0795826539397,7.87509120415e-12,0.0102562922984,1.44119954109,-0.793213248253,2.08566737175,1.36135709286,0.000499999907333,0.980000019073,1.71314001083,1.02399170399,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.137412205338,-0.0793507620692,1.15332266307e-12,0.0124467639253,1.44377279282,-0.79029583931,2.08566808701,1.36135709286,0.000499999907333,0.980000019073,1.71465790272,1.02597904205,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.138304114342,-0.0794169455767,2.22245222985e-13,0.0142154330388,1.44731426239,-0.789517521858,2.08566808701,1.36135709286,0.000499999907333,0.980000019073,1.71194434166,1.02663254738,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.138688221574,-0.0795930624008,4.28266397226e-14,0.0156231531873,1.45058822632,-0.78824031353,2.08566808701,1.36135709286,0.000499999907333,0.980000019073,1.71181213856,1.02684116364,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.138890519738,-0.0793915688992,8.25269198004e-15,0.0163228958845,1.45834028721,-0.783601820469,2.08566808701,1.36135709286,0.000499999907333,0.980000019073,1.71333813667,1.02608454227,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.138630971313,-0.0789966583252,2.09249134641e-15,0.015135220252,1.46168243885,-0.780155837536,2.08566808701,1.36135709286,0.000499999907333,0.980000019073,1.71766197681,1.02491974831,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.137478008866,-0.0785922855139,4.03222940639e-16,0.0107202623039,1.47745227814,-0.774253606796,2.08566808701,1.36135709286,0.000499999907333,0.980000019073,1.72650706768,1.02071678638,-2.08566808701,-1.36135661602,-0.000499999907333,0.980000019073
 We,0.134471073747,-0.0780463293195,-3.66714969502e-09,-0.00688977399841,1.56198120117,-0.701792240143,2.08566617966,1.3613563776,0.000499987218063,0.980000019073,1.75523245335,0.94436866045,-2.08566665649,-1.36135709286,-0.00049999600742,0.980000019073
 We,0.130379408598,-0.0768209770322,-7.19118542492e-10,-0.0500497668982,1.65437674522,-0.551988899708,2.08565735817,1.36135601997,0.000499951420352,0.980000019073,1.77228248119,0.787877559662,-2.06511807442,-0.947289228439,-0.000500013469718,0.980000019073
 We,0.126583844423,-0.0746544450521,2.2717673076e-08,-0.0809142664075,1.66961693764,-0.528928220272,2.05790662766,0.944315612316,0.000499985704664,0.980000019073,1.79346776009,0.739620268345,-1.72935211658,-0.716644287109,-0.000500104390085,0.980000019073
 We,0.122648462653,-0.0689305514097,8.08292188736e-09,-0.0926917716861,1.70954167843,-0.522243976593,1.73516595364,0.813439190388,0.000500005437061,0.980000019073,1.77774453163,0.674264490604,-1.39503645897,-0.736319065094,-0.000500036170706,0.980000019073
 We,0.120280869305,-0.0638555884361,2.29460859202e-08,-0.0883285552263,1.74207568169,-0.486044287682,1.47637033463,0.762452721596,0.00050008832477,0.980000019073,1.77567982674,0.570748507977,-1.20444202423,-0.73486238718,-0.000500117894262,0.980000019073
 We,0.117851041257,-0.0584928356111,5.69217029067e-09,-0.0778233408928,1.74407160282,-0.45573502779,1.40413403511,0.714583992958,0.000500023714267,0.980000019073,1.78158926964,0.536726713181,-1.20383226871,-0.739282846451,-0.000500030175317,0.980000019073
 We,0.113990969956,-0.051815520972,1.09688103045e-09,-0.0585513561964,1.73696148396,-0.422308415174,1.35094857216,0.667814612389,0.000500004563946,0.980000019073,1.79835855961,0.479928165674,-1.21916794777,-0.754616498947,-0.000500004447531,0.980000019073
 We,0.110903173685,-0.0472854189575,1.60640403757e-10,-0.0443679019809,1.73262095451,-0.402451753616,1.320525527,0.646536231041,0.000500000664033,0.980000019073,1.80482900143,0.456405520439,-1.22065973282,-0.766940593719,-0.000500000838656,0.980000019073
 We,0.109135583043,-0.0453705899417,3.09553979672e-11,-0.037696544081,1.72957599163,-0.395253181458,1.32177770138,0.643439233303,0.000500000140164,0.980000019073,1.80293250084,0.447457909584,-1.21801590919,-0.768620193005,-0.000500000198372,0.980000019073
 We,0.10774564743,-0.0449680574238,5.9651038449e-12,-0.0313204340637,1.72832512856,-0.3931466043,1.34078812599,0.646526634693,0.000500000140164,0.980000019073,1.80040073395,0.442109316587,-1.21977484226,-0.767356455326,-0.000500000140164,0.980000019073
