Emotion,Head Yaw,Head Roll,Head Pitch,Right Shoulder Roll,Right Shoulder Pitch,Right Elbow Yaw,Right Elbow Roll,Right Wrist Yaw,Right Hand,Left Shoulder Roll,Left Shoulder Pitch,Left Elbow Yaw,Left Elbow Roll,Left Wrist Yaw,Left Hand,Waist Roll,Waist Pitch,Right Hip Roll,Right Hip Pitch,Right Knee Yaw,Right Knee Roll,Left Hip Roll,Left Hip Pitch,Left Knee Yaw,Left Knee Roll,Emotion Code 6,Emotion Code 5,Emotion Code 4,Emotion Code 3,Emotion Code 2,Emotion Code 1
Happy,0.0,0.0,-0.0304612975965,-0.83379460072,0.210906658996,1.45308848317,0.597790333208,-0.352504782487,3,0.915418090071,0.105504441341,-1.14569369718,-1.55080391446,0.704231534057,3,0.159577399225,0.225494320716,1.29228646325,-0.237923012803,-0.0421772779166,-0.166812845272,-1.24740262638,-1.33152517521,-0.0261640932822,0.284631317407,0,0,0,0,0,1
Happy,0.0,0.0,-0.0212016089,-0.82832537165,0.203609100771,1.46488134406,0.587524976703,-0.387048217333,2,0.91098894581,0.106562651191,-1.14582557033,-1.54941373028,0.80416986736,3,0.160614911638,0.22499553906,1.29225430739,-0.235363742358,-0.04252002785,-0.16744649899,-1.2468004414,-1.33278716697,-0.0276746744518,0.284536258306,0,0,0,0,0,1
Happy,0.0,0.0,-0.0212016089,-0.82832537165,0.203609100771,1.46488134406,0.587524976703,-0.387048217333,2,0.91098894581,0.106562651191,-1.14582557033,-1.54941373028,0.80416986736,3,0.160614911638,0.22499553906,1.29225430739,-0.235363742358,-0.04252002785,-0.16744649899,-1.2468004414,-1.33278716697,-0.0276746744518,0.284536258306,0,0,0,0,0,1
Happy,0.0,0.0,-0.0113328531871,-0.830095788405,0.182666669958,1.44099816178,0.554637316683,-0.370929443149,2,0.909145951329,0.109704434035,-1.14644845361,-1.54738942101,0.829796138826,3,0.160507365772,0.225484005171,1.2920186924,-0.235683840023,-0.0432330927954,-0.168944922654,-1.24627043888,-1.33397080878,-0.0283411709424,0.283926368901,0,0,0,0,0,1
Happy,0.0,0.0,-0.00282556999936,-0.832803067193,0.16961171931,1.41690483749,0.535324885879,-0.341157178285,2,0.904387699016,0.109260141305,-1.14753841829,-1.54697056532,0.974808080234,2,0.160678871745,0.226226890379,1.291973945,-0.238569276466,-0.0428227113406,-0.169709448353,-1.24530979828,-1.33552164512,-0.0282369445092,0.283220094976,0,0,0,0,0,1
Happy,0.0,0.0,-0.00482907435191,-0.833122665116,0.157908639082,1.40278625726,0.524220591036,-0.380988048841,2,0.902209057954,0.108546163226,-1.14743012619,-1.54473612989,0.834487320982,2,0.160540208758,0.225039155323,1.29200447542,-0.236906267964,-0.0422614238813,-0.169072978514,-1.24629301185,-1.33546291686,-0.0275644370306,0.283975342272,0,0,0,0,0,1
Happy,0.0,0.0,-0.00771446568988,-0.834220298891,0.14778347248,1.38885539325,0.514849178638,-0.339635858952,2,0.900110311001,0.106880710071,-1.14630365319,-1.54145376277,1.03014614486,2,0.160729586692,0.224282436513,1.29211814785,-0.236049683905,-0.0429612819179,-0.169363286871,-1.24615673448,-1.33742162005,-0.028383484254,0.282258867659,0,0,0,0,0,1
Happy,0.0,0.0,-0.00152925216418,-0.827889193182,0.162000317625,1.43524635755,0.554499753172,-0.375899998,2,0.894492536258,0.103159246991,-1.14466074293,-1.53969113248,0.949852629507,2,0.160538807751,0.223208566824,1.29184753774,-0.237710216729,-0.0417947470819,-0.168231400213,-1.24698412388,-1.3396074432,-0.02700385365,0.282449775649,0,0,0,0,0,1
Happy,0.0,0.0,-0.0564817458104,-0.231726480445,1.13660552679,0.623897774027,0.892285257072,0.624459785513,3,1.31834547774,0.924346935528,-1.7929459209,-0.765772272208,-1.59394829566,2,-0.267441592137,0.0284929122189,1.36147069978,-0.0788134899638,-0.220433351527,-0.377575473837,-1.41380693114,-1.97763100991,-0.717133097576,-0.0358278444696,0,0,0,0,0,1
Happy,0.0,0.0,-0.0579816014617,-0.236500919436,1.13255635397,0.618644878324,0.900163673334,0.40483834332,2,1.33443594495,0.895257324393,-1.7589285467,-0.755140597602,-1.65261662114,2,-0.26786234141,0.0275395641604,1.35599754781,-0.0881230033418,-0.173258432585,-0.376540441386,-1.41517428026,-1.9719690828,-0.69144436153,-0.0350124393505,0,0,0,0,0,1
Happy,0.0,0.0,-0.0599587799034,-0.25041943256,1.13406566147,0.651772672982,0.915607711029,0.397944136073,2,1.29645356796,0.787922588277,-1.68218429358,-0.745417647151,-1.6360843141,2,-0.266376614088,0.0271631931518,1.36651054195,-0.0770663774491,-0.149978410413,-0.373377662273,-1.41329211181,-2.00153138575,-0.718896487339,-0.0389797223301,0,0,0,0,0,1
Happy,0.0,0.0,-0.059508428665,-0.250449081997,1.12927107842,0.639770672922,0.923158746541,0.419664037505,3,1.31941215959,0.844688136551,-1.72568825642,-0.752490498171,-1.56404292486,2,-0.266887262998,0.0262334881444,1.36646805923,-0.0599800567319,-0.253780564937,-0.371251634766,-1.41119979673,-2.05130845777,-0.739174266693,-0.0440952380755,0,0,0,0,0,1
Happy,0.0,0.0,-0.0575668772757,-0.257571920023,1.12824420568,0.647774270479,0.972625465129,0.575435636335,2,1.29895769133,0.770823973883,-1.67152757861,-0.743291270124,-1.62963277485,2,-0.267343199427,0.0251099042687,1.36550704796,-0.0487238481847,-0.268167218958,-0.371689882745,-1.41189216116,-2.0679867847,-0.756410898167,-0.0450950081171,0,0,0,0,0,1
Happy,0.0,0.0,-0.0613095756149,-0.252659238463,1.12926655259,0.65291198515,0.91312481755,0.387384686589,2,1.30011039348,0.76857539069,-1.6688606993,-0.741402664021,-1.60849383527,2,-0.268740183063,0.0245482833434,1.3621112414,-0.0518293304647,-0.27190665089,-0.371049100433,-1.41149102462,-2.0925820221,-0.749547451507,-0.0470912208919,0,0,0,0,0,1
